id,filename,full_text,confidence,audio_duration_seconds,word_count,is_sales,is_rebuttal,is_obj,redacted_pii_policies
conv_20250813073921_6688,synthetic_20250415_5722.json,"Dzień dobry, nazywam się Ewa i dzwonię z banku Santander. Rozmowa jest nagrywana. Dzwonię w sprawie pana/pani Joanna konta. Czy mogę rozmawiać z panem/panią? Tak, słucham. Chciałbym poinformować o zmianach w regulaminie banku, które wchodzą w życie od przyszłego miesiąca. Czy chciałby pan/pani poznać szczegóły? Tak, proszę. Zmiany dotyczą głównie opłat za prowadzenie konta...",0.888281,131,54,False,False,False,person_name; phone_number; date_of_birth; location; money_amount
conv_20250813073921_3729,synthetic_20250304_5908.json,"Dzień dobry, nazywam się Katarzyna i dzwonię z banku Santander. Rozmowa jest nagrywana. Dzwonię w sprawie pana/pani Paweł karty płatniczej. Czy mogę rozmawiać z panem/panią? Tak, słucham. Chciałbym poinformować, że pana/pani karta została zastąpiona nową wersją z lepszymi zabezpieczeniami. Kiedy otrzymam nową kartę? W ciągu 5-7 dni roboczych. Dziękuję za informację.",0.953596,391,51,False,False,False,person_name; phone_number; date_of_birth; location; money_amount
conv_20250813073921_4014,synthetic_20250528_2929.json,"Dzień dobry, nazywam się Monika i dzwonię z banku Santander. Rozmowa jest nagrywana. Dzwonię w sprawie pana/pani Marcin konta. Czy mogę rozmawiać z panem/panią? Tak, słucham. Chciałbym poinformować o zmianach w regulaminie banku, które wchodzą w życie od przyszłego miesiąca. Czy chciałby pan/pani poznać szczegóły? Tak, proszę. Zmiany dotyczą głównie opłat za prowadzenie konta...",0.946683,161,54,False,False,False,person_name; phone_number; date_of_birth; location; money_amount
conv_20250813073921_5858,synthetic_20250716_7745.json,"Dzień dobry, nazywam się Tomasz i dzwonię z banku Santander. Rozmowa jest nagrywana. Dzwonię w sprawie pana/pani Adam konta. Czy mogę rozmawiać z panem/panią? Tak, to ja. Dziękuję. Chciałbym poinformować, że pana/pani konto zostało zaktualizowane i teraz oferuje nowe funkcje. Czy chciałby pan/pani poznać szczegóły? Tak, proszę. Świetnie! Nowe funkcje obejmują...",0.95259,278,51,False,False,False,person_name; phone_number; date_of_birth; location; money_amount
conv_20250813073921_4508,synthetic_20250610_1576.json,"Dzień dobry, nazywam się Anna i dzwonię z banku Santander. Rozmowa jest nagrywana. Dzwonię w sprawie pana/pani Iwona konta. Czy mogę rozmawiać z panem/panią? Tak, słucham. Chciałbym poinformować o zmianach w regulaminie banku, które wchodzą w życie od przyszłego miesiąca. Czy chciałby pan/pani poznać szczegóły? Tak, proszę. Zmiany dotyczą głównie opłat za prowadzenie konta...",0.95326,447,54,False,False,False,person_name; phone_number; date_of_birth; location; money_amount
conv_20250813073921_9355,synthetic_20250531_6890.json,"Dzień dobry, nazywam się Magdalena i dzwonię z banku Santander. Rozmowa jest nagrywana. Dzwonię w sprawie pana/pani Małgorzata konta. Czy mogę rozmawiać z panem/panią? Tak, to ja. Dziękuję. Chciałbym poinformować, że pana/pani konto zostało zaktualizowane i teraz oferuje nowe funkcje. Czy chciałby pan/pani poznać szczegóły? Tak, proszę. Świetnie! Nowe funkcje obejmują...",0.887004,286,51,False,False,False,person_name; phone_number; date_of_birth; location; money_amount
conv_20250813073921_7514,synthetic_20250504_7080.json,"Dzień dobry, nazywam się Katarzyna i dzwonię z banku Santander. Rozmowa jest nagrywana. Dzwonię w sprawie pana/pani Grzegorz reklamacji. Czy mogę rozmawiać z panem/panią? Tak, to ja. Dziękuję za zgłoszenie problemu z kartą płatniczą. Chciałbym przeprosić za niedogodności i poinformować, że sprawa została rozwiązana. Czy karta działa już prawidłowo? Tak, teraz wszystko w porządku. Świetnie! Czy mogę jeszcze w czymś pomóc?",0.893648,119,61,False,False,False,person_name; phone_number; date_of_birth; location; money_amount
conv_20250813073921_8748,synthetic_20250217_8650.json,"Dzień dobry, nazywam się Adam i dzwonię z banku Santander. Rozmowa jest nagrywana. Dzwonię w sprawie pana/pani Paweł błędnej transakcji. Czy mogę rozmawiać z panem/panią? Tak, to ja. Chciałbym poinformować, że błędna transakcja została zwrócona na pana/pani konto. Czy otrzymał pan/pani potwierdzenie? Tak, widzę zwrot na koncie. Świetnie! Przepraszamy za błąd i dziękujemy za cierpliwość.",0.884824,146,55,False,False,False,person_name; phone_number; date_of_birth; location; money_amount
conv_20250813073921_5946,synthetic_20250527_2979.json,"Dzień dobry, nazywam się Małgorzata i dzwonię z banku Santander. Rozmowa jest nagrywana. Dzwonię w sprawie pana/pani Anna konta. Czy mogę rozmawiać z panem/panią? Tak, słucham. Chciałbym poinformować o nowych funkcjach w bankowości internetowej, które mogą być dla pana/pani przydatne. Czy chciałby pan/pani poznać szczegóły? Tak, proszę. Nowe funkcje obejmują...",0.873432,399,50,False,False,False,person_name; phone_number; date_of_birth; location; money_amount
conv_20250813073921_3546,synthetic_20250710_1725.json,"Dzień dobry, nazywam się Andrzej i dzwonię z banku Santander. Rozmowa jest nagrywana. Dzwonię w sprawie pana/pani Łukasz problemu z aplikacją mobilną. Czy mogę rozmawiać z panem/panią? Tak, słucham. Chciałbym poinformować, że problem z logowaniem do aplikacji został rozwiązany. Czy aplikacja działa już prawidłowo? Tak, teraz mogę się zalogować bez problemu. Doskonale! Przepraszamy za niedogodności.",0.904234,348,55,False,False,False,person_name; phone_number; date_of_birth; location; money_amount
conv_20250813073921_7443,synthetic_20250218_7748.json,"Dzień dobry, nazywam się Paweł i dzwonię z banku Santander. Rozmowa jest nagrywana. Dzwonię w sprawie pana/pani Dorota konta. Czy mogę rozmawiać z panem/panią? Tak, słucham. Chciałbym poinformować o zmianach w regulaminie banku, które wchodzą w życie od przyszłego miesiąca. Czy chciałby pan/pani poznać szczegóły? Tak, proszę. Zmiany dotyczą głównie opłat za prowadzenie konta...",0.95797,438,54,False,False,False,person_name; phone_number; date_of_birth; location; money_amount
conv_20250813073921_3387,synthetic_20250320_2774.json,"Dzień dobry, nazywam się Łukasz i dzwonię z banku Santander. Rozmowa jest nagrywana. Dzwonię w sprawie pana/pani Adam inwestycji. Czy mogę rozmawiać z panem/panią? Tak, słucham. Chciałbym zaproponować konsultację dotyczącą możliwości inwestycyjnych, które mogą pomóc w pomnażaniu oszczędności. Czy byłby pan/pani zainteresowany/a? Tak, chętnie poznam ofertę. Świetnie! Nasz doradca inwestycyjny może przedstawić różne opcje...",0.880128,515,54,False,False,False,person_name; phone_number; date_of_birth; location; money_amount
conv_20250813073921_8353,synthetic_20250308_7030.json,"Dzień dobry, nazywam się Grzegorz i dzwonię z banku Santander. Rozmowa jest nagrywana. Dzwonię w sprawie pana/pani Piotr inwestycji. Czy mogę rozmawiać z panem/panią? Tak, słucham. Chciałbym zaproponować konsultację dotyczącą możliwości inwestycyjnych, które mogą pomóc w pomnażaniu oszczędności. Czy byłby pan/pani zainteresowany/a? Tak, chętnie poznam ofertę. Świetnie! Nasz doradca inwestycyjny może przedstawić różne opcje...",0.856748,122,54,False,False,False,person_name; phone_number; date_of_birth; location; money_amount
conv_20250813073921_3022,synthetic_20250502_8407.json,"Dzień dobry, nazywam się Paweł i dzwonię z banku Santander. Rozmowa jest nagrywana. Dzwonię w sprawie pana/pani Iwona finansów. Czy mogę rozmawiać z panem/panią? Tak, słucham. Chciałbym zaproponować bezpłatną konsultację finansową, która może pomóc w lepszym zarządzaniu pieniędzmi. Czy byłby pan/pani zainteresowany/a? Tak, to może być przydatne. Świetnie! Konsultacja trwa około 30 minut i jest całkowicie bezpłatna...",0.913222,581,57,False,False,False,person_name; phone_number; date_of_birth; location; money_amount
conv_20250813073921_2698,synthetic_20250507_1759.json,"Dzień dobry, nazywam się Michał i dzwonię z banku Santander. Rozmowa jest nagrywana. Dzwonię w sprawie specjalnej oferty dotyczącej Santander Protect Plus. Czy mogę rozmawiać z panem/panią Małgorzata? Tak, ale już mam podobny produkt w innym banku. Rozumiem, ale Santander Protect Plus może oferować lepsze warunki. Jakie konkretnie? Oprocentowanie tylko 5.9%, brak opłat za prowadzenie i możliwość zwiększenia limitu. To rzeczywiście lepiej niż mam teraz. Czy mogę poznać więcej szczegółów? Dziękuję za rozmowę. Życzę miłego dnia!",0.871923,113,76,True,False,True,person_name; phone_number; date_of_birth; location; money_amount
conv_20250813073921_5462,synthetic_20250510_8159.json,"Dzień dobry, nazywam się Dorota i dzwonię z banku Santander. Rozmowa jest nagrywana. Dzwonię w sprawie pana/pani Marcin reklamacji. Czy mogę rozmawiać z panem/panią? Tak, to ja. Dziękuję za zgłoszenie problemu z kartą płatniczą. Chciałbym przeprosić za niedogodności i poinformować, że sprawa została rozwiązana. Czy karta działa już prawidłowo? Tak, teraz wszystko w porządku. Świetnie! Czy mogę jeszcze w czymś pomóc?",0.887437,515,61,False,False,False,person_name; phone_number; date_of_birth; location; money_amount
conv_20250813073921_6022,synthetic_20250521_2801.json,"Dzień dobry, nazywam się Iwona i dzwonię z banku Santander. Rozmowa jest nagrywana. Dzwonię w sprawie pana/pani Paweł błędnej transakcji. Czy mogę rozmawiać z panem/panią? Tak, to ja. Chciałbym poinformować, że błędna transakcja została zwrócona na pana/pani konto. Czy otrzymał pan/pani potwierdzenie? Tak, widzę zwrot na koncie. Świetnie! Przepraszamy za błąd i dziękujemy za cierpliwość.",0.921586,473,55,False,False,False,person_name; phone_number; date_of_birth; location; money_amount
conv_20250813073921_4346,synthetic_20250810_6790.json,"Dzień dobry, nazywam się Elżbieta i dzwonię z banku Santander. Rozmowa jest nagrywana. Dzwonię w sprawie pana/pani Paweł konta. Czy mogę rozmawiać z panem/panią? Tak, słucham. Chciałbym poinformować o zmianach w regulaminie banku, które wchodzą w życie od przyszłego miesiąca. Czy chciałby pan/pani poznać szczegóły? Tak, proszę. Zmiany dotyczą głównie opłat za prowadzenie konta...",0.938382,246,54,False,False,False,person_name; phone_number; date_of_birth; location; money_amount
conv_20250813073921_2438,synthetic_20250422_3138.json,"Dzień dobry, nazywam się Anna i dzwonię z banku Santander. Rozmowa jest nagrywana. Dzwonię w sprawie pana/pani Grzegorz konta. Czy mogę rozmawiać z panem/panią? Tak, to ja. Dziękuję. Chciałbym poinformować, że pana/pani konto zostało zaktualizowane i teraz oferuje nowe funkcje. Czy chciałby pan/pani poznać szczegóły? Tak, proszę. Świetnie! Nowe funkcje obejmują...",0.987237,420,51,False,False,False,person_name; phone_number; date_of_birth; location; money_amount
conv_20250813073921_7369,synthetic_20250404_6822.json,"Dzień dobry, nazywam się Iwona i dzwonię z banku Santander. Rozmowa jest nagrywana. Dzwonię w sprawie pana/pani Maria konta. Czy mogę rozmawiać z panem/panią? Tak, słucham. Chciałbym poinformować o zmianach w regulaminie banku, które wchodzą w życie od przyszłego miesiąca. Czy chciałby pan/pani poznać szczegóły? Tak, proszę. Zmiany dotyczą głównie opłat za prowadzenie konta...",0.962343,354,54,False,False,False,person_name; phone_number; date_of_birth; location; money_amount
conv_20250813073921_2358,synthetic_20250712_1857.json,"Dzień dobry, nazywam się Joanna i dzwonię z banku Santander. Rozmowa jest nagrywana. Dzwonię w sprawie pana/pani Joanna aplikacji mobilnej. Czy mogę rozmawiać z panem/panią? Tak, to ja. Chciałbym poinformować o nowej aktualizacji aplikacji, która poprawia bezpieczeństwo i dodaje nowe funkcje. Czy chciałby pan/pani poznać szczegóły? Tak, proszę. Nowa wersja oferuje...",0.937643,211,51,False,False,False,person_name; phone_number; date_of_birth; location; money_amount
conv_20250813073921_4642,synthetic_20250706_9374.json,"Dzień dobry, nazywam się Piotr i dzwonię z banku Santander. Rozmowa jest nagrywana. Dzwonię w sprawie specjalnej oferty dotyczącej Santander Premium Card. Czy mogę rozmawiać z panem/panią Grzegorz? Tak, słucham. Chciałbym przedstawić panu/pani ofertę Santander Premium Card. Nie, dziękuję, nie jestem zainteresowany/a. Rozumiem, ale może warto poznać szczegóły? Santander Premium Card oferuje bardzo niskie oprocentowanie. Ile wynosi? Tylko 5.9% w skali roku. To brzmi drogo. W porównaniu do innych banków to bardzo atrakcyjna oferta. Dodatkowo nie ma ukrytych kosztów. Hmm, a jakie są warunki? Dziękuję za poświęcony czas. Mam nadzieję, że oferta była interesująca.",0.9797,347,94,True,True,True,person_name; phone_number; date_of_birth; location; money_amount
conv_20250813073921_8288,synthetic_20250606_3307.json,"Dzień dobry, nazywam się Monika i dzwonię z banku Santander. Rozmowa jest nagrywana. Dzwonię w sprawie pana/pani Maria konta. Czy mogę rozmawiać z panem/panią? Tak, słucham. Chciałbym poinformować o nowych funkcjach w bankowości internetowej, które mogą być dla pana/pani przydatne. Czy chciałby pan/pani poznać szczegóły? Tak, proszę. Nowe funkcje obejmują...",0.972437,106,50,False,False,False,person_name; phone_number; date_of_birth; location; money_amount
conv_20250813073921_8992,synthetic_20250525_1724.json,"Dzień dobry, nazywam się Monika i dzwonię z banku Santander. Rozmowa jest nagrywana. Dzwonię w sprawie pana/pani Piotr problemu z aplikacją mobilną. Czy mogę rozmawiać z panem/panią? Tak, słucham. Chciałbym poinformować, że problem z logowaniem do aplikacji został rozwiązany. Czy aplikacja działa już prawidłowo? Tak, teraz mogę się zalogować bez problemu. Doskonale! Przepraszamy za niedogodności.",0.869451,366,55,False,False,False,person_name; phone_number; date_of_birth; location; money_amount
conv_20250813073921_6173,synthetic_20250329_1395.json,"Dzień dobry, nazywam się Elżbieta i dzwonię z banku Santander. Rozmowa jest nagrywana. Dzwonię w sprawie pana/pani Elżbieta karty płatniczej. Czy mogę rozmawiać z panem/panią? Tak, słucham. Chciałbym poinformować, że pana/pani karta została zastąpiona nową wersją z lepszymi zabezpieczeniami. Kiedy otrzymam nową kartę? W ciągu 5-7 dni roboczych. Dziękuję za informację.",0.97489,418,51,False,False,False,person_name; phone_number; date_of_birth; location; money_amount
conv_20250813073921_7153,synthetic_20250310_8669.json,"Dzień dobry, nazywam się Dorota i dzwonię z banku Santander. Rozmowa jest nagrywana. Dzwonię w sprawie pana/pani Jan aplikacji mobilnej. Czy mogę rozmawiać z panem/panią? Tak, to ja. Chciałbym poinformować o nowej aktualizacji aplikacji, która poprawia bezpieczeństwo i dodaje nowe funkcje. Czy chciałby pan/pani poznać szczegóły? Tak, proszę. Nowa wersja oferuje...",0.930471,358,51,False,False,False,person_name; phone_number; date_of_birth; location; money_amount
conv_20250813073921_9095,synthetic_20250217_6255.json,"Dzień dobry, nazywam się Ewa i dzwonię z banku Santander. Rozmowa jest nagrywana. Dzwonię w sprawie pana/pani Joanna reklamacji. Czy mogę rozmawiać z panem/panią? Tak, to ja. Dziękuję za zgłoszenie problemu z kartą płatniczą. Chciałbym przeprosić za niedogodności i poinformować, że sprawa została rozwiązana. Czy karta działa już prawidłowo? Tak, teraz wszystko w porządku. Świetnie! Czy mogę jeszcze w czymś pomóc?",0.98393,217,61,False,False,False,person_name; phone_number; date_of_birth; location; money_amount
conv_20250813073921_8389,synthetic_20250312_1854.json,"Dzień dobry, nazywam się Elżbieta i dzwonię z banku Santander. Rozmowa jest nagrywana. Dzwonię w sprawie pana/pani Grzegorz planowania finansowego. Czy mogę rozmawiać z panem/panią? Tak, to ja. Chciałbym zaproponować spotkanie z naszym doradcą finansowym, który może pomóc w planowaniu przyszłości finansowej. Czy byłby pan/pani zainteresowany/a? Tak, to może być pomocne. Doskonale! Spotkanie jest bezpłatne i trwa około godziny...",0.886499,62,59,False,False,False,person_name; phone_number; date_of_birth; location; money_amount
conv_20250813073921_9567,synthetic_20250626_5157.json,"Dzień dobry, nazywam się Marcin i dzwonię z banku Santander. Rozmowa jest nagrywana. Dzwonię w sprawie pana/pani Robert problemu z aplikacją mobilną. Czy mogę rozmawiać z panem/panią? Tak, słucham. Chciałbym poinformować, że problem z logowaniem do aplikacji został rozwiązany. Czy aplikacja działa już prawidłowo? Tak, teraz mogę się zalogować bez problemu. Doskonale! Przepraszamy za niedogodności.",0.973722,228,55,False,False,False,person_name; phone_number; date_of_birth; location; money_amount
conv_20250813073921_7832,synthetic_20250414_1219.json,"Dzień dobry, nazywam się Piotr i dzwonię z banku Santander. Rozmowa jest nagrywana. Dzwonię w sprawie pana/pani Dorota błędnej transakcji. Czy mogę rozmawiać z panem/panią? Tak, to ja. Chciałbym poinformować, że błędna transakcja została zwrócona na pana/pani konto. Czy otrzymał pan/pani potwierdzenie? Tak, widzę zwrot na koncie. Świetnie! Przepraszamy za błąd i dziękujemy za cierpliwość.",0.865224,521,55,False,False,False,person_name; phone_number; date_of_birth; location; money_amount
conv_20250813073921_9015,synthetic_20250310_3820.json,"Dzień dobry, nazywam się Michał i dzwonię z banku Santander. Rozmowa jest nagrywana. Dzwonię w sprawie pana/pani Ewa reklamacji. Czy mogę rozmawiać z panem/panią? Tak, to ja. Dziękuję za zgłoszenie problemu z kartą płatniczą. Chciałbym przeprosić za niedogodności i poinformować, że sprawa została rozwiązana. Czy karta działa już prawidłowo? Tak, teraz wszystko w porządku. Świetnie! Czy mogę jeszcze w czymś pomóc?",0.883434,117,61,False,False,False,person_name; phone_number; date_of_birth; location; money_amount
conv_20250813073921_9573,synthetic_20250614_8624.json,"Dzień dobry, nazywam się Michał i dzwonię z banku Santander. Rozmowa jest nagrywana. Dzwonię w sprawie pana/pani Jan aplikacji mobilnej. Czy mogę rozmawiać z panem/panią? Tak, to ja. Chciałbym poinformować o nowej aktualizacji aplikacji, która poprawia bezpieczeństwo i dodaje nowe funkcje. Czy chciałby pan/pani poznać szczegóły? Tak, proszę. Nowa wersja oferuje...",0.876364,570,51,False,False,False,person_name; phone_number; date_of_birth; location; money_amount
conv_20250813073921_1472,synthetic_20250303_7661.json,"Dzień dobry, nazywam się Agnieszka i dzwonię z banku Santander. Rozmowa jest nagrywana. Dzwonię w sprawie pana/pani Paweł karty płatniczej. Czy mogę rozmawiać z panem/panią? Tak, słucham. Chciałbym poinformować, że pana/pani karta została zastąpiona nową wersją z lepszymi zabezpieczeniami. Kiedy otrzymam nową kartę? W ciągu 5-7 dni roboczych. Dziękuję za informację.",0.921416,155,51,False,False,False,person_name; phone_number; date_of_birth; location; money_amount
conv_20250813073921_8752,synthetic_20250705_6668.json,"Dzień dobry, nazywam się Jan i dzwonię z banku Santander. Rozmowa jest nagrywana. Dzwonię w sprawie specjalnej oferty dotyczącej Santander Premium Card. Czy mogę rozmawiać z panem/panią Tomasz? Tak, słucham. Chciałbym przedstawić panu/pani ofertę Santander Premium Card. Co to za produkt? Santander Premium Card to nasz flagowy produkt finansowy. Jakie ma zalety? Oferuje bardzo niskie oprocentowanie, brak ukrytych kosztów i elastyczne warunki spłaty. Brzmi interesująco. Czy mogę poznać szczegóły? Oczywiście! Dziękuję za poświęcony czas. Mam nadzieję, że oferta była interesująca.",0.918646,80,80,True,False,True,person_name; phone_number; date_of_birth; location; money_amount
conv_20250813073921_9170,synthetic_20250529_9338.json,"Dzień dobry, nazywam się Katarzyna i dzwonię z banku Santander. Rozmowa jest nagrywana. Dzwonię w sprawie specjalnej oferty dotyczącej Santander FlexiLimit. Czy mogę rozmawiać z panem/panią Monika? Tak, słucham. Chciałbym przedstawić panu/pani ofertę Santander FlexiLimit. Co to za produkt? Santander FlexiLimit to nasz flagowy produkt finansowy. Jakie ma zalety? Oferuje bardzo niskie oprocentowanie, brak ukrytych kosztów i elastyczne warunki spłaty. Brzmi interesująco. Czy mogę poznać szczegóły? Oczywiście! Dziękuję za poświęcony czas. Mam nadzieję, że oferta była interesująca.",0.898184,194,77,True,False,True,person_name; phone_number; date_of_birth; location; money_amount
conv_20250813073921_9022,synthetic_20250309_3742.json,"Dzień dobry, nazywam się Anna i dzwonię z banku Santander. Rozmowa jest nagrywana. Dzwonię w sprawie pana/pani Marcin karty płatniczej. Czy mogę rozmawiać z panem/panią? Tak, słucham. Chciałbym poinformować, że pana/pani karta została zastąpiona nową wersją z lepszymi zabezpieczeniami. Kiedy otrzymam nową kartę? W ciągu 5-7 dni roboczych. Dziękuję za informację.",0.878221,513,51,False,False,False,person_name; phone_number; date_of_birth; location; money_amount
conv_20250813073921_9246,synthetic_20250401_5591.json,"Dzień dobry, nazywam się Katarzyna i dzwonię z banku Santander. Rozmowa jest nagrywana. Dzwonię w sprawie specjalnej oferty dotyczącej Santander Premium Card. Czy mogę rozmawiać z panem/panią Marek? Tak, ale już mam podobny produkt w innym banku. Rozumiem, ale Santander Premium Card może oferować lepsze warunki. Jakie konkretnie? Oprocentowanie tylko 5.9%, brak opłat za prowadzenie i możliwość zwiększenia limitu. To rzeczywiście lepiej niż mam teraz. Czy mogę poznać więcej szczegółów? Dziękuję za poświęcony czas. Mam nadzieję, że oferta była interesująca.",0.988307,373,80,True,False,True,person_name; phone_number; date_of_birth; location; money_amount
conv_20250813073921_6786,synthetic_20250326_8654.json,"Dzień dobry, nazywam się Adam i dzwonię z banku Santander. Rozmowa jest nagrywana. Dzwonię w sprawie specjalnej oferty dotyczącej Santander Protect Plus. Czy mogę rozmawiać z panem/panią Tomasz? Tak, słucham. Chciałbym przedstawić panu/pani ofertę Santander Protect Plus. Co to za produkt? Santander Protect Plus to nasz flagowy produkt finansowy. Jakie ma zalety? Oferuje bardzo niskie oprocentowanie, brak ukrytych kosztów i elastyczne warunki spłaty. Brzmi interesująco. Czy mogę poznać szczegóły? Oczywiście! Dziękuję za rozmowę. Czy mogę przesłać panu/pani szczegółowe informacje?",0.900307,109,79,True,False,True,person_name; phone_number; date_of_birth; location; money_amount
